No.,企業名,カテゴリ,運営会社,設立年,本社所在地,代表電話,問い合わせ先,公式URL,店舗数,主要サービス,営業状況,備考
28,ダッシングディバ,ネイルサロン,ダッシングディバインターナショナル株式会社,要確認,東京都新宿区西新宿7-5-25 西新宿プライムスクエア3F,03-6692-8645,要確認,https://www.dashingdiva.co.jp/,全国展開,ネイルサロン,営業中,ヒューマンHDグループ
29,ラフィネ,リラクゼーション,株式会社ボディワーク,要確認,東京都中野区東中野2-22-23,03-5989-1781,要確認,https://www.bodywork.co.jp/,約567店舗,リラクゼーション,営業中,ボディワークHD
30,りらくる,リラクゼーション,株式会社りらく,要確認,大阪府大阪市港区弁天1-2-1 大阪ベイタワーオフィス16F,06-4400-5400,要確認,https://relxle.com/,約600店舗,もみほぐし・リフレ,営業中,店舗数業界トップ
31,てもみん,リラクゼーション,株式会社グローバルスポーツ医学研究所,要確認,東京都中央区銀座5-10-12,要確認,要確認,https://www.global-sports.co.jp/,約120店舗,もみほぐし・足つぼ,営業中,グローバル治療院併設
32,シンメトリー(Symmetry),美容整体・小顔矯正,株式会社シンメトリー,2010年4月(創業2002),東京都中央区銀座1-14-5 銀座ウィングビル1F,03-3541-1395,要確認,https://symmetry.jp/,全国36店舗,小顔矯正・美容整体,営業中,福岡発祥
33,美.design,美容整体・小顔矯正,株式会社ブラスト,要確認,東京都台東区東上野3-18-7 SK上野ビル9F,0120-980-439,要確認,https://b-design32.com/,全国38直営店,美容矯正・小顔矯正,営業中,業界トップシェア
34,QPU(キュープ),美容整体・小顔矯正,株式会社QPUホールディングス,2016年5月,東京都渋谷区神宮前3-1-14,要確認,要確認,http://qpu.jp/,複数店舗,小顔美容矯正,営業中,代表:猪瀬悠希
35,アイスタイル(@cosme),IT・BeautyTech,株式会社アイスタイル,1999年7月,東京都港区赤坂1-12-32 アーク森ビル34F,要確認,要確認,https://www.istyle.co.jp/,本社,美容口コミ@cosme運営,営業中,東証プライム3660
36,生活の木,アロマ・化粧品,株式会社生活の木,1967年12月,東京都渋谷区神宮前6-3-8,03-3409-1781,要確認,https://corp.treeoflife.co.jp/,約120店舗,ハーブ・アロマ,営業中,アロマ大手
37,ニールズヤード レメディーズ,アロマ・化粧品,株式会社ニールズヤード レメディーズ,1994年11月,東京都渋谷区神宮前5-1-17,03-5772-1959,要確認,https://www.nealsyard.co.jp/,直営店多数,オーガニックコスメ・アロマ,営業中,英国発オーガニック
38,誠心堂薬局,美容鍼灸・漢方,株式会社誠心堂薬局,要確認,千葉県(要確認),要確認,要確認,https://www.seishin-do.co.jp/,複数店舗,漢方・美容鍼灸,営業中,漢方と鍼灸
39,花王,化粧品・トイレタリー,花王株式会社,1887年6月,東京都中央区日本橋茅場町1-14-10,要確認,要確認,https://www.kao.com/jp/,本社,化粧品・トイレタリー,営業中,東証プライム・カネボウ親会社
40,コーセー,化粧品メーカー,株式会社コーセー,1948年6月,東京都中央区日本橋3-6-2,03-3273-1511,要確認,https://corp.kose.co.jp/,本社,化粧品,営業中,東証プライム
41,アルビオン,化粧品メーカー,株式会社アルビオン,1956年,東京都中央区銀座1-7-10,03-5524-1711,要確認,https://www.albion.co.jp/,本社,高級化粧品,営業中,コーセーグループ
42,コーセーコスメポート,化粧品メーカー,コーセーコスメポート株式会社,要確認,東京都中央区八丁堀1-2-8,03-6771-7611,要確認,https://www.kosecosmeport.co.jp/,本社,セルフ化粧品,営業中,コーセー子会社
43,カネボウ化粧品,化粧品メーカー,株式会社カネボウ化粧品,2004年5月,東京都中央区,要確認,要確認,https://www.kanebo-cosmetics.co.jp/,本社,化粧品,営業中,花王グループ
44,共立美容外科,美容クリニック,医療法人社団弦徳会(共立美容外科),1989年,東京都新宿区新宿(新宿本院),0120-500-340,要確認,https://www.kyoritsu-biyo.com/,全国26院,美容外科・美容皮膚科,営業中,創業38年
45,リゼクリニック,美容クリニック(医療脱毛),医療法人社団風林会,要確認,東京都新宿区(要確認),要確認,要確認,https://www.rizeclinic.com/,全国28院,医療脱毛専門,営業中,医療脱毛大手
46,リザービア,IT・BeautyTech,株式会社リザービア,2012年,東京都(要確認),要確認,要確認,https://www.rsv.la/,4500店舗導入,サロン予約システム,営業中,美容サロン特化予約
47,リクルート(ホットペッパービューティー),IT・BeautyTech,株式会社リクルート,2012年(分社),東京都千代田区丸の内1-9-2 グラントウキョウサウスタワー,要確認,要確認,https://www.recruit.co.jp/,本社,美容予約・集客プラットフォーム,営業中,HPB・サロンボード運営
48,ビューティガレージ,美容機器ディーラー,株式会社ビューティガレージ,2000年6月,東京都世田谷区(要確認),要確認,要確認,https://www.beautygarage.jp/,本社,プロ向け美容商材EC,営業中,東証グロース・業界最大級
49,ファンケル,化粧品メーカー,株式会社ファンケル,1981年8月,神奈川県横浜市中区山下町89-1,045-226-1200,要確認,https://www.fancl.jp/,本社,化粧品・健康食品,営業中,キリンHD傘下・東証プライム
50,DHC,化粧品メーカー,株式会社ディーエイチシー,1972年8月,東京都港区芝5-34-2 ミタマチテラス19F,03-3457-6220,要確認,https://top.dhc.co.jp/,本社,化粧品・健康食品,営業中,通販大手
51,オルビス,化粧品メーカー,オルビス株式会社,1984年6月,東京都品川区平塚2-1-14,03-3788-1711,要確認,https://corp.orbis.co.jp/,本社,化粧品・通販,営業中,ポーラ・オルビスHD
52,マンダム,化粧品メーカー,株式会社マンダム,1927年12月,大阪府大阪市中央区十二軒町5-12,06-6767-5001,要確認,https://www.mandom.co.jp/,本社,男性用化粧品,営業中,東証プライム・メンズ国内首位
53,ノエビア,化粧品メーカー,株式会社ノエビア,1978年,兵庫県神戸市中央区港島中町6-13-1,要確認,要確認,https://www.noevir.co.jp/,神戸本社+東京本社,訪販化粧品,営業中,ノエビアHD(東証4928)
54,ナリス化粧品,化粧品メーカー,株式会社ナリス化粧品,1949年12月,大阪府大阪市福島区(要確認),要確認,要確認,https://www.naris.co.jp/,本社,化粧品・訪販,営業中,訪問販売大手
55,再春館製薬所,化粧品メーカー,株式会社再春館製薬所,1932年(創業),熊本県上益城郡益城町寺中1363-1,096-289-4444,要確認,https://www.saishunkan.co.jp/,本社,化粧品・医薬品,営業中,ドモホルンリンクル
56,聖心美容クリニック,美容クリニック,医療法人社団美翔会,1993年,東京都港区六本木(要確認),要確認,要確認,https://www.biyougeka.com/,全国展開,美容外科・美容皮膚科,営業中,GMOビューティー系
57,高須クリニック,美容クリニック,医療法人社団高須クリニック,1976年,東京都港区赤坂(要確認),要確認,要確認,https://www.takasu.co.jp/,複数院,美容外科,営業中,老舗・著名
58,城本クリニック,美容クリニック,城本クリニック(GMOビューティー),1993年,東京都新宿区(要確認),要確認,要確認,https://www.shiromoto.to/,全国25院,美容外科・美容皮膚科,営業中,GMOビューティー運営
59,MTG,美容機器メーカー,株式会社MTG,1996年,愛知県名古屋市中区栄1-23-10 名古屋伏見アイマークビル7F,0120-467-222,要確認,https://www.mtg.gr.jp/,本社,美容・健康機器(ReFa等),営業中,東証グロース
60,ジェイメック,美容機器メーカー,株式会社ジェイメック,1992年,東京都文京区(要確認),要確認,要確認,https://www.jmec.co.jp/,本社,医療・美容機器,営業中,医療美容機器
61,パナソニック ビューティ,美容機器メーカー,パナソニック株式会社,1918年(創業),大阪府門真市大字門真1006,要確認,要確認,https://panasonic.jp/beauty/,事業部,美容家電,営業中,大手家電・美容家電
62,田谷(TAYA),ヘアサロン,株式会社田谷,1968年,東京都渋谷区千駄ヶ谷5-23-13,要確認,要確認,https://tayanet.jp/,全国展開,美容室チェーン,営業中,東証スタンダード4679
63,日本コルマー,化粧品OEM,日本コルマー株式会社,1971年,大阪府茨木市(要確認),要確認,要確認,https://www.nihon-kolmar.com/,本社+工場,化粧品ODM/OEM,営業中,OEM最大手・トキワ買収
64,トキワ,化粧品OEM,株式会社トキワ,1948年,岐阜県中津川市(要確認),要確認,要確認,https://www.tokiwa-corp.com/,本社+工場,メイク品OEM,営業中,メイクアップOEM世界供給
65,東洋ビューティ,化粧品OEM,東洋ビューティ株式会社,1948年,大阪府大阪市中央区本町,06-6241-2123,要確認,https://www.toyobeauty.co.jp/,本社+4工場,化粧品ODM/OEM,営業中,関西OEM大手
66,エミナルクリニック,美容クリニック(医療脱毛),医療法人社団エミナル(親:セブンエー美容株式会社),2007年3月,福岡県北九州市小倉北区魚町2-3-20 第30エルザビル3F,093-967-8753,要確認,https://eminal-clinic.jp/,全国60院以上,医療脱毛,営業中,医療脱毛大手
67,ゴリラクリニック,美容クリニック(メンズ),医療法人社団十二会,2009年8月,東京都新宿区大久保2-4-12 新宿ラムダックスビル3F,03-5291-5270,要確認,https://gorilla.clinic/,全国22院,メンズ美容・脱毛,営業中,男性専門総合美容
68,メンズリゼ,美容クリニック(メンズ脱毛),医療法人社団風林会(支援:ライズネット株式会社),2010年3月,東京都新宿区大久保2-4-12 新宿ラムダックスビル3F,03-5155-6535,要確認,https://www.mens-rize.com/,全国展開,メンズ医療脱毛,営業中,リゼ系列
69,パーフェクト(Perfect Corp.),IT・BeautyTech(AI),パーフェクト株式会社,2015年6月,東京都(要確認),要確認,要確認,https://www.perfectcorp.com/ja/,日本法人,AI肌診断・ARメイク,営業中,YouCam・米Perfect Corp日本法人
70,北の達人コーポレーション,D2Cコスメ・IT,株式会社北の達人コーポレーション,2002年5月,東京都中央区銀座4-12-15 歌舞伎座タワー17F,要確認,要確認,https://www.kitanotatsujin.com/,東京本社+札幌支社,D2C化粧品・健康食品,営業中,東証プライム2930
71,I-ne,D2Cコスメ・美容家電,株式会社I-ne,2007年3月,大阪府大阪市(要確認),要確認,要確認,https://i-ne.co.jp/,本社,BOTANIST/SALONIA等,営業中,東証プライム4933
72,プレミアアンチエイジング,D2Cコスメ,プレミアアンチエイジング株式会社,2009年12月,東京都港区(要確認),要確認,要確認,https://prtm-ag.co.jp/,本社,DUOクレンジングバーム等,営業中,東証グロース
73,井田両国堂,化粧品卸商社,株式会社井田両国堂,1918年(大正7年),東京都台東区,03-3514-2008,要確認,https://www.idaryogokudo.co.jp/,本社,化粧品卸・専門商社,営業中,IDAグループ
74,ビューティーアイラッシュ,まつげエクステ,株式会社ビューティーアイラッシュ(要確認),要確認,全国(要確認),要確認,要確認,https://www.b-eyelash.com/,商業施設中心に多店舗,まつげエクステ専門,営業中,ラッシュアディクト取扱
75,第一三共ヘルスケア,化粧品・医薬部外品メーカー,第一三共ヘルスケア株式会社,2005年12月,東京都中央区日本橋3-14-10,03-5255-6222,要確認,https://www.daiichisankyo-hc.co.jp/,本社,化粧品・OTC医薬品,営業中,トランシーノ等
76,小林製薬,化粧品・日用品メーカー,小林製薬株式会社,1919年,大阪府大阪市中央区道修町4-4-10 KDX小林道修町ビル,06-6231-1144,要確認,https://www.kobayashi.co.jp/,本社,化粧品・日用品・医薬品,営業中,東証プライム4967
77,クラシエ,化粧品・日用品メーカー,クラシエ株式会社,2007年7月,東京都港区海岸3-20-20 ヨコソーレインボータワー,03-5446-3334,要確認,https://www.kracie.co.jp/,本社,化粧品・日用品・漢方,営業中,旧カネボウ
78,牛乳石鹸共進社,化粧品・石鹸メーカー,牛乳石鹸共進社株式会社,1909年,大阪府大阪市城東区今福西2-4-7,06-6939-1451,要確認,https://www.cow-soap.co.jp/,本社,石鹸・スキンケア,営業中,カウブランド
79,ロート製薬,化粧品・医薬品メーカー,ロート製薬株式会社,1949年9月,大阪府大阪市生野区巽西1-8-1,06-6758-1231,要確認,https://www.rohto.co.jp/,本社,スキンケア・医薬品,営業中,東証プライム4527・肌ラボ等
80,中野製薬,ヘア化粧品メーカー,中野製薬株式会社,1956年,京都府京都市山科区東野北井ノ上町6-20,075-581-1191,要確認,https://www.nakano-seiyaku.co.jp/,本社,頭髪化粧品・サロン専売,営業中,美容室専売
81,ホーユー,ヘアカラーメーカー,ホーユー株式会社,1905年(創業),愛知県名古屋市東区(要確認),要確認,要確認,https://www.hoyu.co.jp/,本社,ヘアカラー製造・卸,営業中,ヘアカラー国内大手
82,TAクリニック,美容クリニック,医療法人社団元輝会,2014年(要確認),東京都新宿区(要確認),要確認,要確認,https://taclinic.jp/,全国展開,美容外科・美容皮膚科,営業中,エイジングケア
83,大塚美容形成外科,美容クリニック,大塚美容形成外科・歯科(GMOビューティー系),1977年(要確認),東京都千代田区(要確認),要確認,要確認,https://www.otsuka-biyo.co.jp/,複数院,美容外科・形成外科,営業中,老舗
84,ミルボン,ヘア化粧品メーカー,株式会社ミルボン,1960年7月,東京都中央区京橋2-2-1 京橋エドグラン,03-3517-3915,要確認,https://www.milbon.co.jp/,本社,サロン専売ヘア化粧品,営業中,東証プライム4919
85,アリミノ,ヘア化粧品メーカー,株式会社アリミノ,1950年3月,東京都新宿区下落合1-5-22,03-3363-8211,要確認,https://www.arimino.co.jp/,本社,サロン専売ヘア化粧品,営業中,美容室専売
86,ナプラ,ヘア化粧品メーカー,株式会社ナプラ,1959年4月,大阪府大阪市旭区高殿4-16-19,06-6954-1897,要確認,https://www.napla.co.jp/,本社,サロン専売ヘア化粧品,営業中,N.シリーズ等
87,デミ コスメティクス,ヘア化粧品メーカー,日華化学株式会社,1941年9月,福井県福井市文京4-23-1,0776-25-8585,要確認,https://www.demi.nicca.co.jp/,本社,サロン専売ヘアケア,営業中,日華化学化粧品部門
88,ポーラ・オルビスホールディングス,化粧品(持株会社),株式会社ポーラ・オルビスHD,2006年9月,東京都品川区西五反田2-2-3,要確認,要確認,https://www.po-holdings.co.jp/,本社,化粧品グループ持株会社,営業中,東証プライム4927
89,ガモウ,理美容ディーラー,株式会社ガモウ,1927年(創業),東京都(要確認),要確認,要確認,https://www.gamo.co.jp/,本社,理美容商材卸,営業中,ディーラー売上トップクラス
90,阪本高生堂,理美容ディーラー・化粧品,株式会社阪本高生堂,要確認,東京都文京区関口1-15-12,03-3269-6621,要確認,https://www.fine-cosmetics.com/,本社,理美容向け化粧品製造卸,営業中,FINEブランド
91,ドクターシーラボ,化粧品メーカー,株式会社ドクターシーラボ,1999年,東京都港区北青山(要確認),0120-371-217,要確認,https://www.ci-labo.com/,本社,ドクターズコスメ,営業中,シーズ・ラボ系列
92,シーボン,化粧品メーカー,株式会社シーボン,1966年,東京都港区(要確認),要確認,要確認,https://www.cbon.co.jp/,本社+直営サロン,化粧品・アフターサービス,営業中,東証スタンダード4926
93,ストラッシュ(STLASSH),脱毛サロン,株式会社クリア,要確認,東京都(要確認),0120-871-681,要確認,https://stlassh.com/,全国展開,美容脱毛,営業中,SHR脱毛
94,カラダファクトリー,整体・骨盤矯正,株式会社ファクトリージャパングループ,2003年(要確認),東京都(要確認),要確認,要確認,https://karada39.com/,全国370店舗以上,整体・骨盤矯正,営業中,整体国内最大級
95,ミニモ(minimo),IT・BeautyTech,株式会社MIXI,1999年(MIXI),東京都渋谷区渋谷2-24-12 渋谷スクランブルスクエア,要確認,要確認,https://mixi.co.jp/,本社事業,美容C2Cマッチングアプリ,営業中,累計500万DL
96,リジョブ,IT・BeautyTech(求人),株式会社リジョブ,2009年,東京都(要確認),要確認,要確認,https://relax-job.com/,本社,美容業界特化求人,営業中,じげんグループ
97,ちふれ化粧品,化粧品メーカー,株式会社ちふれ化粧品(ちふれHD),1968年,埼玉県川越市(要確認),要確認,要確認,https://www.chifure.co.jp/,本社,プチプラ化粧品,営業中,生協系・低価格
98,ハウスオブローゼ,化粧品メーカー,株式会社ハウスオブローゼ,1976年(要確認),東京都港区(要確認),要確認,要確認,https://www.houseofrose.jp/,本社+直営店,化粧品・ボディケア,営業中,東証スタンダード7506
99,桃谷順天館,化粧品メーカー,株式会社桃谷順天館,1885年(創業),大阪府大阪市東成区(要確認),要確認,要確認,https://www.e-cosmetics.co.jp/,本社,化粧品製造販売,営業中,明治創業の老舗
100,クラブコスメチックス,化粧品メーカー,株式会社クラブコスメチックス,1903年(創業),大阪府大阪市西区(要確認),要確認,要確認,https://clubcosmetics.net/,本社,化粧品製造販売,営業中,クラブ化粧品
101,ファイントゥデイ,化粧品・日用品メーカー,ファイントゥデイ株式会社,2021年,東京都港区(要確認),要確認,要確認,https://www.finetoday.com/,本社,ヘアケア・スキンケア,営業中,旧資生堂日用品事業(TSUBAKI等)
102,常盤薬品工業,化粧品・医薬品メーカー,常盤薬品工業株式会社,1948年(要確認),大阪府(本社)+東京本社,要確認,要確認,https://www.tokiwayakuhin.co.jp/,本社,化粧品(SANA/excel等)・医薬品,営業中,ノエビアHDグループ
103,黒龍堂,化粧品メーカー,株式会社黒龍堂,1946年(要確認),兵庫県(要確認),要確認,要確認,https://www.kokuryudo.co.jp/,本社,化粧品製造販売,営業中,フィットミーブランド等
104,コスメテックスローランド,化粧品メーカー・OEM,コスメテックスローランド株式会社,1978年,東京都(要確認),要確認,要確認,https://www.c-roland.co.jp/,本社+工場,化粧品製造・OEM,営業中,自社+OEM
105,ジュジュ化粧品,化粧品メーカー,ジュジュ化粧品株式会社,1953年(要確認),東京都(要確認),要確認,要確認,https://www.juju-cosmetics.co.jp/,本社,化粧品製造販売,営業中,アクアモイス等
106,アルテ ジェネシス(旧アルテサロンHD),ヘアサロン,株式会社アルテ ジェネシス,1988年11月,神奈川県横浜市中区翁町1-4-1 アルテマリンウェーブビル5F,045-663-6123,要確認,https://artegenesis.com/,約350店舗,美容室(Ash/NYNY等),営業中,旧JASDAQ2406
107,水の森美容クリニック,美容クリニック,医療法人水の森美容外科,2004年(要確認),愛知県名古屋市(本院),要確認,要確認,https://www.mizunomori.com/,複数院,美容外科・美容皮膚科,営業中,コスパ重視
108,東京美容外科,美容クリニック,医療法人社団東美会(イデアメディカルG),2002年(要確認),東京都(要確認),要確認,要確認,https://www.tokyobiyo.com/,全国114院,美容外科・美容皮膚科,営業中,統括院長:金福泰
109,明色化粧品,化粧品メーカー,株式会社明色化粧品,1885年(創業),大阪府大阪市中央区上町1-4-1,要確認,要確認,https://www.meishoku.co.jp/,本社,化粧品製造販売,営業中,桃谷順天館グループ
110,ロゼット,化粧品メーカー,ロゼット株式会社,1934年(創業),東京都品川区西五反田(要確認),要確認,要確認,https://corporate.rosette.jp/,本社,洗顔・スキンケア,営業中,洗顔パスタ
111,マッシュビューティーラボ,化粧品小売・メーカー,株式会社マッシュビューティーラボ,2001年(要確認),東京都千代田区麹町5-7-1 麹町ダイビル5F,03-5774-5565,要確認,https://www.mashbeautylab.com/,Cosme Kitchen等,オーガニックコスメ小売,営業中,マッシュHD
112,フィッツコーポレーション,化粧品・フレグランスメーカー,株式会社フィッツコーポレーション,1982年(要確認),東京都渋谷区(要確認),要確認,要確認,https://www.fits-japan.com/,本社,フレグランス・化粧品,営業中,香り中心
113,バルクオム,メンズ化粧品メーカー,株式会社バルクオム,2017年5月,東京都港区赤坂3-2-12 赤坂ノアビル2F,03-5114-6220,要確認,https://bulk.co.jp/,本社,メンズスキンケア,営業中,BULK HOMME
114,esNAIL(エスネイル),ネイルサロン,株式会社エスネイル,2020年2月,東京都渋谷区宇田川町19-5 山手マンション404,03-5422-3432,要確認,https://esnailtokyo.jp/,全国展開,ネイルサロン,営業中,技術力訴求
115,ネイルズユニーク,ネイルサロン,株式会社ネイルズユニークオブジャパン,1986年(創業),兵庫県神戸市(要確認),要確認,要確認,https://www.nailsunique.co.jp/,全国展開,ネイルサロン,営業中,神戸発・3ブランド
116,アクセーヌ,化粧品メーカー,アクセーヌ株式会社,1986年(要確認),大阪府大阪市北区豊崎3-19-3 PIAS TOWER,06-6376-5577,0120-120783,https://www.acseine.co.jp/,本社,敏感肌化粧品,営業中,皮膚生理学ベース
